
Project:     session
Program:     Inertial Explorer Version 8.70.6912
Profile:     Mapper Localization Output
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\mapper.ai\Desktop\paccar_dual_lidar_collect_20190410\session.cts
ProcessInfo: session by Unknown on 4/11/2019 at 11:34:22

Datum:       WGS84
Master 1:    Name P221, Status ENABLED
             Antenna height 0.008 m, to ARP [TRM59800.00(SCIT)]
             Lat, Lon, El Hgt 37 20 13.03169, -122 05 56.59197, 155.301 m [WGS84, 2019.274]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.880, y=-0.440, z=2.610 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=90.000, zRot=180.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.000, y=-2.410, z=-1.380 m (x-right, y-fwd, z-up, IMU->SENSOR)
UTC Offset:  18 s
Geoid:       GEOID12B(CONUS).wpg [NAVD88] (Absolute correction)

Map projection Info:
  UTM Zone:    10

AccBdyX AccBdyY AccBdyZ VelBdyX VelBdyY VelBdyZ        Heading          Pitch           Roll         Easting        Northing        H-Ell       UTCTime   Undulation        H-MSL
(m/s^2) (m/s^2) (m/s^2)   (m/s)   (m/s)   (m/s)          (deg)          (deg)          (deg)             (m)             (m)          (m)         (sec)          (m)          (m)
  0.041  -0.021   0.093   0.008   0.004  -0.005  91.3017700345  -0.3902988500 -01.9208066307 589422.23078243 4140726.5626875      -31.187 1554924464.00      -32.644        1.457
  0.011  -0.022   0.076  -0.003  -0.005   0.002  91.2916745181  -0.4414066854 -02.1893576789 589422.22990148 4140726.5654268      -31.181 1554924465.00      -32.644        1.463
  0.152   0.064  -0.097  -0.012  -0.000   0.000  91.3415734125  -0.4527226018 -01.9514140361 589422.23573470 4140726.5736265      -31.179 1554924466.00      -32.644        1.465
 -0.196  -0.017   0.012  -0.007   0.001  -0.002  91.3916327350  -0.4499838636 -01.7282813524 589422.23624585 4140726.5787214      -31.179 1554924467.00      -32.644        1.465
  0.234   0.028   0.094  -0.002   0.068  -0.002  91.4733938124  -0.4363417385 -01.6351757107 589422.26005744 4140726.5796737      -31.179 1554924468.00      -32.644        1.465
 -0.163   0.198  -0.065   0.009   0.259  -0.001  92.2066250916  -0.3909692107 -01.6683213191 589422.42620535 4140726.5738979      -31.181 1554924469.00      -32.644        1.463
  0.059   0.172   0.018   0.000   0.419  -0.005  94.3201976429  -0.3297658590 -01.8205676645 589422.77506593 4140726.5506051      -31.185 1554924470.00      -32.644        1.459
  0.005   0.194   0.097   0.019   0.521  -0.014  97.7343958483  -0.1498227338 -01.6779756580 589423.23554195 4140726.5006013      -31.194 1554924471.00      -32.644        1.450
  0.146   0.068   0.067   0.010   0.645  -0.006 102.0432791099   0.1434743615 -01.4408398857 589423.80735157 4140726.3956638      -31.203 1554924472.00      -32.644        1.441
  0.127   0.241  -0.140   0.011   0.804  -0.024 107.4578505951   0.5307193465 -01.3011756936 589424.50726132 4140726.2029971      -31.215 1554924473.00      -32.644        1.429
 -0.012   0.145   0.073   0.006   0.946  -0.019 113.9845789972   0.9502963398 -01.0614444225 589425.32197574 4140725.8846227      -31.224 1554924474.00      -32.644        1.420
  0.075   0.030   0.005   0.008   1.092  -0.029 121.5645871732   1.2960419917 -00.7759796603 589426.21852450 4140725.4038313      -31.228 1554924475.00      -32.644        1.416
  0.314   0.051   0.003   0.026   1.115  -0.019 130.0707014110   1.5857466417 -00.4786088350 589427.12480275 4140724.7518593      -31.226 1554924476.00      -32.644        1.418
 -0.159   0.081  -0.003   0.016   1.118  -0.024 138.3931654867   1.7147423597 -00.2673363776 589427.91460078 4140723.9747223      -31.215 1554924477.00      -32.644        1.429
  0.384  -0.212  -0.039   0.027   1.123  -0.011 146.1914190165   1.6976968653 000.0741235500 589428.59548384 4140723.0826046      -31.196 1554924478.00      -32.644        1.448
 -0.019   0.169  -0.037   0.012   1.117  -0.004 152.3354116114   1.6056855730 000.2137304463 589429.16039762 4140722.1160252      -31.174 1554924479.00      -32.644        1.470
  0.215  -0.084  -0.020   0.015   1.117  -0.001 157.3413667858   1.4822475456 000.4321534170 589429.63222729 4140721.0970292      -31.147 1554924480.00      -32.644        1.497
 -0.227   0.125   0.039   0.016   1.129  -0.006 161.7600688680   1.3937141071 000.4646974197 589430.01653291 4140720.0528027      -31.120 1554924481.00      -32.644        1.524
  0.164  -0.047  -0.025   0.010   1.115   0.003 166.1748805669   1.2729861701 000.5221765457 589430.32129420 4140718.9718524      -31.092 1554924482.00      -32.644        1.552
 -0.057   0.110  -0.001   0.012   1.121  -0.003 170.2156711466   1.1825046751 000.5900433966 589430.54841503 4140717.8738025      -31.068 1554924483.00      -32.644        1.576
  0.032  -0.057   0.037   0.001   1.130  -0.008 173.2120971757   1.1105870126 001.0001264793 589430.71548669 4140716.7602950      -31.047 1554924484.00      -32.644        1.597
  0.218  -0.206   0.156   0.021   1.277   0.003 174.4768957789   1.1204533458 000.7827176439 589430.84348997 4140715.5714780      -31.029 1554924485.00      -32.644        1.615
  0.390   0.031   0.083   0.007   1.259  -0.003 176.0357821591   1.0607224957 000.7731950854 589430.94864244 4140714.3279349      -31.009 1554924486.00      -32.644        1.635
  0.146  -0.063   0.011   0.017   1.225  -0.004 177.5542979331   0.9277275323 000.7881550134 589431.01952700 4140713.0821501      -30.990 1554924487.00      -32.644        1.654
 -0.080  -0.046   0.024   0.006   1.268  -0.006 178.6901867620   0.9491962609 001.0587171434 589431.06643989 4140711.8386676      -30.976 1554924488.00      -32.644        1.668
  0.147  -0.040   0.075   0.017   1.341  -0.008 179.3361336506   0.9237569348 000.8441559083 589431.08804520 4140710.5415982      -30.962 1554924489.00      -32.644        1.682
  0.199   0.009  -0.065   0.005   1.367  -0.006 179.9600445825   0.9435411674 000.5606793096 589431.09819633 4140709.1851229      -30.947 1554924490.00      -32.644        1.697
  0.014   0.111  -0.045   0.011   1.427  -0.016 -179.428689664   0.9725156431 000.2252526276 589431.09475770 4140707.7934039      -30.938 1554924491.00      -32.644        1.706
 -0.291   0.060  -0.118   0.017   1.438   0.003 -179.131015171   0.7910198024 000.3017253045 589431.08372300 4140706.3668413      -30.921 1554924492.00      -32.644        1.723
 -0.418  -0.010  -0.133   0.008   1.447   0.007 -179.045025665   0.5940827490 -00.0852332016 589431.06756552 4140704.9179836      -30.904 1554924493.00      -32.644        1.741
 -0.365   0.143  -0.200   0.016   1.452   0.007 -178.912477609   0.4277015349 -00.3427032460 589431.05645227 4140703.4685262      -30.884 1554924494.00      -32.644        1.760
  0.153  -0.077   0.106  -0.002   1.574  -0.004 -178.754656384   0.3578522501 -00.3509767566 589431.04408722 4140701.9609291      -30.871 1554924495.00      -32.644        1.773
 -0.157   0.063  -0.061  -0.011   1.724  -0.009 -178.129335976   0.3598747911 -00.5209618752 589431.01877301 4140700.3311846      -30.874 1554924496.00      -32.644        1.770
  0.085   0.340  -0.015   0.001   1.826   0.002 -177.446433310   0.2396968936 -00.3430928573 589430.97190253 4140698.5527343      -30.868 1554924497.00      -32.644        1.776
 -0.031   0.187  -0.157  -0.012   1.970  -0.004 -177.453245778   0.1363066595 -00.4864125202 589430.90476442 4140696.6672564      -30.861 1554924498.00      -32.644        1.783
 -0.047   0.118  -0.154   0.012   2.002  -0.005 -177.579686104  -0.0731667104 -00.2811790380 589430.84258726 4140694.6783933      -30.863 1554924499.00      -32.644        1.781
  0.083  -0.044   0.023  -0.007   2.017   0.001 -178.084284305  -0.1436347897 -00.8044040965 589430.77530499 4140692.6645823      -30.870 1554924500.00      -32.644        1.774
  0.016   0.108  -0.207   0.039   2.067  -0.009 -177.903630712  -0.3063891809 -00.5004385270 589430.72720863 4140690.6288197      -30.876 1554924501.00      -32.644        1.768
 -0.103   0.038  -0.060  -0.012   2.085   0.009 -177.936048664  -0.3292788449 -01.0655811778 589430.66122724 4140688.5472314      -30.892 1554924502.00      -32.644        1.753
 -0.103   0.035  -0.050  -0.029   2.081   0.031 -178.202726140  -0.5420066150 -00.7252442475 589430.61634649 4140686.4474675      -30.906 1554924503.00      -32.644        1.739
 -0.099   0.047  -0.071  -0.023   2.054  -0.007 -179.352308660  -0.5814031930 -00.4574781515 589430.60068402 4140684.3690678      -30.926 1554924504.00      -32.644        1.719
 -0.050   0.187   0.016  -0.003   2.057  -0.028 175.8073610749  -0.3396665697 -00.1227504780 589430.68929228 4140682.3311638      -30.965 1554924505.00      -32.644        1.680
 -0.617  -0.005  -0.279  -0.009   2.052   0.008 166.8401876994  -0.2927986220 000.1249047993 589431.00795697 4140680.3095286      -30.991 1554924506.00      -32.644        1.654
 -0.299  -0.024   0.082   0.049   2.101   0.001 155.0181948139  -0.3840192326 000.4897070275 589431.69411529 4140678.3400337      -31.012 1554924507.00      -32.645        1.632
 -0.324   0.076   0.125   0.016   2.111   0.007 141.7886909975  -0.7924006307 001.1052756939 589432.80342536 4140676.5479715      -31.026 1554924508.00      -32.645        1.619
 -0.186  -0.123  -0.056   0.031   2.129   0.020 128.6916263756  -1.0605907154 001.8629608117 589434.29480161 4140675.0503316      -31.043 1554924509.00      -32.645        1.602
 -0.554  -0.148   0.043   0.030   2.112   0.007 115.8871598404  -1.1236733687 003.5575064091 589436.10549914 4140673.9274300      -31.086 1554924510.00      -32.645        1.558
 -0.014  -0.153  -0.161   0.049   2.134  -0.016 104.1437251982  -0.2295555406 002.3593084201 589438.08415514 4140673.1929248      -31.122 1554924511.00      -32.645        1.522
 -0.163   0.029   0.047   0.034   2.161  -0.034  96.6953254277   0.3661314902 001.6680405698 589440.19176110 4140672.8153104      -31.141 1554924512.00      -32.645        1.503
 -0.243  -0.038   0.070  -0.006   2.118  -0.010  93.3705602045   0.6152936466 001.5063404209 589442.33263715 4140672.6497737      -31.142 1554924513.00      -32.645        1.502
 -0.025  -0.058  -0.150  -0.022   2.055   0.009  91.6012493444   0.6458724041 000.4761393869 589444.41082268 4140672.5831672      -31.130 1554924514.00      -32.645        1.515
 -0.049   0.014   0.015  -0.005   2.116   0.003  90.9929171350   0.6285461604 000.3709672540 589446.48584442 4140672.5664062      -31.116 1554924515.00      -32.645        1.529
  0.215   0.036   0.054  -0.017   2.155  -0.030  90.4174841622   0.6115522322 000.2565705007 589448.61483531 4140672.5668122      -31.105 1554924516.00      -32.645        1.540
  0.141   0.072   0.033   0.003   2.171  -0.025  89.8584721598   0.6127153365 -00.0853191453 589450.77843148 4140672.5786569      -31.091 1554924517.00      -32.645        1.554
  0.108   0.077  -0.048  -0.003   2.149  -0.013  89.8051756257   0.6935195744 000.1599010615 589452.93337930 4140672.6062037      -31.079 1554924518.00      -32.645        1.566
 -0.164  -0.200  -0.113   0.011   2.062  -0.016  89.5150527165   0.7258343940 000.2395078175 589455.05244444 4140672.6357761      -31.066 1554924519.00      -32.645        1.578
 -0.266   0.226   0.138  -0.010   1.963  -0.014  89.3319067573   0.5687981215 000.2162400015 589457.03101061 4140672.6780763      -31.053 1554924520.00      -32.645        1.591
 -0.013   0.013  -0.162  -0.001   2.054   0.025  89.2110183921   0.1396126259 -00.2118224969 589459.07649089 4140672.7145107      -31.035 1554924521.00      -32.645        1.610
  0.044   0.006  -0.180  -0.002   2.105   0.003  89.1401091354  -0.3733278402 000.0391158287 589461.16560933 4140672.7687145      -31.021 1554924522.00      -32.645        1.624
  0.003   0.035  -0.015  -0.008   2.111  -0.014  89.0397383889  -0.4409597783 000.0496582521 589463.26598328 4140672.8273774      -31.031 1554924523.00      -32.645        1.613
